cls	acc	F1	bal_acc	cal_F1	MCC	Avg	tp	tn	fp	fn	support	total	model	filename
0	0.554	0.228	0.541	0.219	0.141	0.282	372	2747	157	2358	2730	5634	coastnet	./predictions/ATL24_20221012141554_03341701_005_01_gt1r_1_classified_2.csv
40	0.960	0.657	0.796	0.741	0.639	0.708	215	5195	85	139	354	5634	coastnet	./predictions/ATL24_20221012141554_03341701_005_01_gt1r_1_classified_2.csv
41	0.587	0.684	0.622	0.568	0.342	0.554	2515	794	2290	35	2550	5634	coastnet	./predictions/ATL24_20221012141554_03341701_005_01_gt1r_1_classified_2.csv
0	0.943	0.670	0.843	0.804	0.641	0.739	1701	26181	1027	652	2353	29561	coastnet	./predictions/ATL24_20210925114800_00461308_005_01_gt3l_0_classified_2.csv
40	0.944	0.766	0.817	0.775	0.755	0.778	2731	25161	127	1542	4273	29561	coastnet	./predictions/ATL24_20210925114800_00461308_005_01_gt3l_0_classified_2.csv
41	0.962	0.976	0.918	0.859	0.890	0.911	22895	5546	1080	40	22935	29561	coastnet	./predictions/ATL24_20210925114800_00461308_005_01_gt3l_0_classified_2.csv
0	0.966	0.845	0.944	0.929	0.829	0.887	4068	38619	1123	369	4437	44179	coastnet	./predictions/ATL24_20221213071642_12761707_006_01_gt3r_0_classified_2.csv
40	0.993	0.813	0.918	0.909	0.809	0.862	709	43143	192	135	844	44179	coastnet	./predictions/ATL24_20221213071642_12761707_006_01_gt3r_0_classified_2.csv
41	0.974	0.985	0.971	0.955	0.885	0.949	37910	5104	177	988	38898	44179	coastnet	./predictions/ATL24_20221213071642_12761707_006_01_gt3r_0_classified_2.csv
0	0.957	0.878	0.958	0.938	0.856	0.908	4158	21376	990	169	4327	26693	coastnet	./predictions/ATL24_20230213042035_08341807_006_01_gt2l_0_classified_2.csv
40	0.990	0.851	0.880	0.864	0.852	0.862	725	25714	27	227	952	26693	coastnet	./predictions/ATL24_20230213042035_08341807_006_01_gt2l_0_classified_2.csv
41	0.966	0.979	0.969	0.956	0.900	0.951	20651	5137	142	763	21414	26693	coastnet	./predictions/ATL24_20230213042035_08341807_006_01_gt2l_0_classified_2.csv
0	0.966	0.920	0.958	0.943	0.898	0.930	16019	62520	1861	939	16958	81339	coastnet	./predictions/ATL24_20200212214153_07360601_005_01_gt2r_0_classified_2.csv
40	0.993	0.868	0.951	0.946	0.865	0.908	1925	78830	386	198	2123	81339	coastnet	./predictions/ATL24_20200212214153_07360601_005_01_gt2r_0_classified_2.csv
41	0.973	0.982	0.972	0.958	0.926	0.960	60595	18528	553	1663	62258	81339	coastnet	./predictions/ATL24_20200212214153_07360601_005_01_gt2r_0_classified_2.csv
0	0.978	0.943	0.970	0.961	0.929	0.951	3943	17502	301	179	4122	21925	coastnet	./predictions/ATL24_20200212214153_07360601_005_01_gt2r_1_classified_2.csv
40	0.985	0.927	0.957	0.952	0.918	0.938	2097	19497	153	178	2275	21925	coastnet	./predictions/ATL24_20200212214153_07360601_005_01_gt2r_1_classified_2.csv
41	0.993	0.995	0.994	0.992	0.984	0.991	15405	6371	26	123	15528	21925	coastnet	./predictions/ATL24_20200212214153_07360601_005_01_gt2r_1_classified_2.csv
0	0.964	0.941	0.971	0.950	0.917	0.945	32670	76358	3750	370	33040	113148	coastnet	./predictions/ATL24_20190101023251_00560202_005_01_gt1l_0_classified_2.csv
40	0.995	0.746	0.811	0.767	0.759	0.771	886	111659	67	536	1422	113148	coastnet	./predictions/ATL24_20190101023251_00560202_005_01_gt1l_0_classified_2.csv
41	0.969	0.977	0.975	0.970	0.930	0.963	75472	34159	303	3214	78686	113148	coastnet	./predictions/ATL24_20190101023251_00560202_005_01_gt1l_0_classified_2.csv
0	0.959	0.911	0.962	0.942	0.887	0.926	29244	103548	4776	940	30184	138508	coastnet	./predictions/ATL24_20200831063523_10220802_005_01_gt2l_0_classified_2.csv
40	0.995	0.866	0.906	0.896	0.865	0.883	2215	135605	181	507	2722	138508	coastnet	./predictions/ATL24_20200831063523_10220802_005_01_gt2l_0_classified_2.csv
41	0.963	0.976	0.968	0.956	0.905	0.951	101317	32131	775	4285	105602	138508	coastnet	./predictions/ATL24_20200831063523_10220802_005_01_gt2l_0_classified_2.csv
0	0.983	0.943	0.985	0.976	0.934	0.960	22582	135357	2432	296	22878	160667	coastnet	./predictions/ATL24_20221209191918_12231701_006_01_gt1r_0_classified_2.csv
40	0.999	0.721	0.804	0.756	0.733	0.753	253	160218	33	163	416	160667	coastnet	./predictions/ATL24_20221209191918_12231701_006_01_gt1r_0_classified_2.csv
41	0.984	0.991	0.986	0.981	0.940	0.974	135104	23031	263	2269	137373	160667	coastnet	./predictions/ATL24_20221209191918_12231701_006_01_gt1r_0_classified_2.csv
0	0.966	0.897	0.960	0.944	0.878	0.920	35162	192322	6300	1789	36951	235573	coastnet	./predictions/ATL24_20211009134021_02611308_006_01_gt1l_0_classified_2.csv
40	0.991	0.865	0.941	0.935	0.861	0.901	7049	226324	1316	884	7933	235573	coastnet	./predictions/ATL24_20211009134021_02611308_006_01_gt1l_0_classified_2.csv
41	0.975	0.984	0.981	0.975	0.924	0.966	185273	44411	473	5416	190689	235573	coastnet	./predictions/ATL24_20211009134021_02611308_006_01_gt1l_0_classified_2.csv
0	0.965	0.812	0.938	0.921	0.798	0.867	21979	255404	7865	2295	24274	287543	coastnet	./predictions/ATL24_20210325203928_00161102_005_01_gt1r_0_classified_2.csv
40	0.994	0.607	0.828	0.791	0.606	0.708	1334	284485	1033	691	2025	287543	coastnet	./predictions/ATL24_20210325203928_00161102_005_01_gt1r_0_classified_2.csv
41	0.969	0.983	0.958	0.932	0.836	0.927	253843	24810	1489	7401	261244	287543	coastnet	./predictions/ATL24_20210325203928_00161102_005_01_gt1r_0_classified_2.csv
0	0.877	0.659	0.753	0.672	0.618	0.676	39496	250861	5451	35357	74853	331165	coastnet	./predictions/ATL24_20220808201030_07321602_006_01_gt2r_0_classified_2.csv
40	0.997	0.603	0.863	0.840	0.610	0.729	702	329537	663	263	965	331165	coastnet	./predictions/ATL24_20220808201030_07321602_006_01_gt2r_0_classified_2.csv
41	0.879	0.926	0.761	0.677	0.632	0.749	250140	41105	34713	5207	255347	331165	coastnet	./predictions/ATL24_20220808201030_07321602_006_01_gt2r_0_classified_2.csv
0	0.947	0.895	0.911	0.899	0.864	0.892	51013	162373	1693	10249	61262	225328	coastnet	./predictions/ATL24_20200827144340_09660803_005_01_gt3l_0_classified_2.csv
40	0.990	0.844	0.895	0.881	0.841	0.865	5822	217349	630	1527	7349	225328	coastnet	./predictions/ATL24_20200827144340_09660803_005_01_gt3l_0_classified_2.csv
41	0.956	0.969	0.928	0.875	0.896	0.917	156434	58875	9736	283	156717	225328	coastnet	./predictions/ATL24_20200827144340_09660803_005_01_gt3l_0_classified_2.csv
0	0.982	0.732	0.933	0.922	0.734	0.830	1361	52074	815	182	1543	54432	coastnet	./predictions/ATL24_20210413202331_03061102_005_01_gt3r_0_classified_2.csv
40	0.999	0.756	0.826	0.789	0.765	0.784	99	54269	11	53	152	54432	coastnet	./predictions/ATL24_20210413202331_03061102_005_01_gt3r_0_classified_2.csv
41	0.983	0.991	0.942	0.901	0.766	0.900	51975	1524	171	762	52737	54432	coastnet	./predictions/ATL24_20210413202331_03061102_005_01_gt3r_0_classified_2.csv
0	0.975	0.807	0.974	0.962	0.808	0.888	18935	330501	8499	539	19474	358474	coastnet	./predictions/ATL24_20220130165727_06021406_005_01_gt3l_0_classified_2.csv
40	0.998	0.643	0.760	0.684	0.661	0.687	593	357223	111	547	1140	358474	coastnet	./predictions/ATL24_20220130165727_06021406_005_01_gt3l_0_classified_2.csv
41	0.977	0.987	0.978	0.968	0.827	0.940	329903	20181	433	7957	337860	358474	coastnet	./predictions/ATL24_20220130165727_06021406_005_01_gt3l_0_classified_2.csv
0	0.938	0.921	0.945	0.909	0.874	0.912	136276	213700	20016	3309	139585	373301	coastnet	./predictions/ATL24_20220413185245_03311507_005_02_gt1l_0_classified_2.csv
40	0.986	0.846	0.923	0.914	0.839	0.881	13963	354263	2682	2393	16356	373301	coastnet	./predictions/ATL24_20220413185245_03311507_005_02_gt1l_0_classified_2.csv
41	0.951	0.956	0.957	0.953	0.905	0.943	199704	155281	660	17656	217360	373301	coastnet	./predictions/ATL24_20220413185245_03311507_005_02_gt1l_0_classified_2.csv
0	0.878	0.791	0.862	0.814	0.706	0.793	32427	90555	10363	6801	39228	140146	coastnet	./predictions/ATL24_20220403082112_01721501_006_02_gt1l_0_classified_2.csv
40	0.937	0.443	0.754	0.673	0.420	0.573	3512	127805	5985	2844	6356	140146	coastnet	./predictions/ATL24_20220403082112_01721501_006_02_gt1l_0_classified_2.csv
41	0.940	0.954	0.951	0.940	0.873	0.930	87012	44737	847	7550	94562	140146	coastnet	./predictions/ATL24_20220403082112_01721501_006_02_gt1l_0_classified_2.csv
0	0.896	0.857	0.905	0.857	0.782	0.850	107207	202835	27734	8137	115344	345913	coastnet	./predictions/ATL24_20210131090917_05861006_005_01_gt1r_0_classified_2.csv
40	0.959	0.821	0.861	0.836	0.806	0.831	32301	299486	2114	12012	44313	345913	coastnet	./predictions/ATL24_20210131090917_05861006_005_01_gt1r_0_classified_2.csv
41	0.928	0.931	0.930	0.906	0.857	0.906	168976	152076	7581	17280	186256	345913	coastnet	./predictions/ATL24_20210131090917_05861006_005_01_gt1r_0_classified_2.csv
0	0.898	0.622	0.896	0.853	0.607	0.744	1186	11491	1302	140	1326	14119	coastnet	./predictions/ATL24_20210310234138_11751014_005_01_gt3r_0_classified_2.csv
40	0.974	0.476	0.663	0.493	0.524	0.539	168	13581	26	344	512	14119	coastnet	./predictions/ATL24_20210310234138_11751014_005_01_gt3r_0_classified_2.csv
41	0.922	0.954	0.926	0.894	0.730	0.876	11309	1710	128	972	12281	14119	coastnet	./predictions/ATL24_20210310234138_11751014_005_01_gt3r_0_classified_2.csv
0	0.864	0.777	0.888	0.829	0.704	0.800	91861	241679	46611	6092	97953	386243	coastnet	./predictions/ATL24_20190116101629_02900202_006_02_gt3l_0_classified_2.csv
40	0.997	0.767	0.955	0.951	0.775	0.862	2085	382889	1069	200	2285	386243	coastnet	./predictions/ATL24_20190116101629_02900202_006_02_gt3l_0_classified_2.csv
41	0.864	0.901	0.890	0.859	0.710	0.840	239064	94685	5553	46941	286005	386243	coastnet	./predictions/ATL24_20190116101629_02900202_006_02_gt3l_0_classified_2.csv
0	0.957	0.924	0.963	0.941	0.897	0.931	145058	392786	20056	3837	148895	561737	coastnet	./predictions/ATL24_20220824201715_09761608_005_01_gt3r_2_classified_2.csv
40	0.991	0.824	0.889	0.874	0.821	0.852	11337	545557	1663	3180	14517	561737	coastnet	./predictions/ATL24_20220824201715_09761608_005_01_gt3r_2_classified_2.csv
41	0.966	0.976	0.972	0.965	0.921	0.958	381411	161200	2212	16914	398325	561737	coastnet	./predictions/ATL24_20220824201715_09761608_005_01_gt3r_2_classified_2.csv
0	0.972	0.823	0.912	0.897	0.808	0.860	13824	194155	3344	2611	16435	213934	coastnet	./predictions/ATL24_20220525050540_09641502_006_01_gt3r_0_classified_2.csv
40	0.997	0.285	0.584	0.288	0.396	0.388	125	213183	9	617	742	213934	coastnet	./predictions/ATL24_20220525050540_09641502_006_01_gt3r_0_classified_2.csv
41	0.975	0.986	0.917	0.862	0.832	0.899	194029	14574	2603	2728	196757	213934	coastnet	./predictions/ATL24_20220525050540_09641502_006_01_gt3r_0_classified_2.csv
0	0.965	0.924	0.965	0.949	0.903	0.935	80820	288867	10288	2996	83816	382971	coastnet	./predictions/ATL24_20220824201715_09761608_005_01_gt3r_0_classified_2.csv
40	0.992	0.855	0.951	0.946	0.852	0.901	9474	370281	2256	960	10434	382971	coastnet	./predictions/ATL24_20220824201715_09761608_005_01_gt3r_0_classified_2.csv
41	0.974	0.982	0.980	0.976	0.933	0.968	279378	93495	755	9343	288721	382971	coastnet	./predictions/ATL24_20220824201715_09761608_005_01_gt3r_0_classified_2.csv
0	0.950	0.753	0.943	0.920	0.744	0.840	53207	610898	31050	3774	56981	698929	coastnet	./predictions/ATL24_20210621164201_13571108_005_01_gt3r_0_classified_2.csv
40	0.998	0.961	0.989	0.989	0.960	0.975	16010	681615	979	325	16335	698929	coastnet	./predictions/ATL24_20210621164201_13571108_005_01_gt3r_0_classified_2.csv
41	0.952	0.973	0.956	0.938	0.795	0.915	594887	70520	2796	30726	625613	698929	coastnet	./predictions/ATL24_20210621164201_13571108_005_01_gt3r_0_classified_2.csv
0	0.972	0.844	0.919	0.906	0.828	0.874	48021	558387	9684	8105	56126	624197	coastnet	./predictions/ATL24_20230407113920_02611908_006_01_gt1l_0_classified_2.csv
40	0.995	0.904	0.937	0.932	0.902	0.919	13381	607975	929	1912	15293	624197	coastnet	./predictions/ATL24_20230407113920_02611908_006_01_gt1l_0_classified_2.csv
