cls	acc	F1	bal_acc	cal_F1	MCC	Avg	tp	tn	fp	fn	support	total	model	filename
0	0.930	0.715	0.787	0.728	0.702	0.733	23924	228447	1795	17265	41189	271431	coastnet	./predictions/ATL24_20220810205329_07631602_005_01_gt2r_1_classified.csv
40	0.985	0.329	0.841	0.807	0.381	0.589	1022	266232	3729	448	1470	271431	coastnet	./predictions/ATL24_20220810205329_07631602_005_01_gt2r_1_classified.csv
41	0.940	0.966	0.829	0.746	0.759	0.825	226774	28472	14187	1998	228772	271431	coastnet	./predictions/ATL24_20220810205329_07631602_005_01_gt2r_1_classified.csv
0	0.967	0.912	0.969	0.953	0.894	0.932	26607	124423	4363	795	27402	156188	coastnet	./predictions/ATL24_20221209191918_12231701_006_01_gt2r_0_classified.csv
40	0.989	0.236	0.775	0.708	0.286	0.501	270	154173	1532	213	483	156188	coastnet	./predictions/ATL24_20221209191918_12231701_006_01_gt2r_0_classified.csv
41	0.963	0.977	0.972	0.964	0.887	0.950	122991	27460	425	5312	128303	156188	coastnet	./predictions/ATL24_20221209191918_12231701_006_01_gt2r_0_classified.csv
0	0.959	0.946	0.957	0.940	0.912	0.939	7500	12371	449	410	7910	20730	coastnet	./predictions/ATL24_20220815130101_08341607_005_01_gt1r_0_classified.csv
40	0.981	0.841	0.925	0.914	0.831	0.878	1021	19322	223	164	1185	20730	coastnet	./predictions/ATL24_20220815130101_08341607_005_01_gt1r_0_classified.csv
41	0.976	0.979	0.976	0.966	0.952	0.968	11339	8897	198	296	11635	20730	coastnet	./predictions/ATL24_20220815130101_08341607_005_01_gt1r_0_classified.csv
0	0.938	0.737	0.958	0.929	0.734	0.840	22450	219351	15621	384	22834	257806	coastnet	./predictions/ATL24_20220816115520_08491601_005_01_gt3r_0_classified.csv
40	0.997	0.918	0.948	0.945	0.916	0.932	4683	252283	303	537	5220	257806	coastnet	./predictions/ATL24_20220816115520_08491601_005_01_gt3r_0_classified.csv
41	0.941	0.966	0.966	0.963	0.778	0.918	214668	27973	81	15084	229752	257806	coastnet	./predictions/ATL24_20220816115520_08491601_005_01_gt3r_0_classified.csv
0	0.973	0.802	0.934	0.920	0.792	0.862	180577	3095877	66526	22702	203279	3365682	coastnet	./predictions/ATL24_20200812103958_07340808_005_01_gt3l_0_classified.csv
40	0.994	0.601	0.848	0.819	0.604	0.718	15077	3330573	13552	6480	21557	3365682	coastnet	./predictions/ATL24_20200812103958_07340808_005_01_gt3l_0_classified.csv
41	0.972	0.985	0.940	0.900	0.802	0.907	3068275	203161	21675	72571	3140846	3365682	coastnet	./predictions/ATL24_20200812103958_07340808_005_01_gt3l_0_classified.csv
0	0.968	0.802	0.853	0.826	0.793	0.818	235664	3278950	20697	95391	331055	3630702	coastnet	./predictions/ATL24_20200814185852_07700806_005_01_gt1l_0_classified.csv
40	0.979	0.068	0.856	0.825	0.158	0.477	2708	3553534	73465	995	3703	3630702	coastnet	./predictions/ATL24_20200814185852_07700806_005_01_gt1l_0_classified.csv
41	0.985	0.992	0.953	0.916	0.908	0.942	3269212	305802	28956	26732	3295944	3630702	coastnet	./predictions/ATL24_20200814185852_07700806_005_01_gt1l_0_classified.csv
