cls	acc	F1	bal_acc	cal_F1	MCC	Avg	tp	tn	fp	fn	support	total	model	filename
0	0.952	0.939	0.954	0.929	0.900	0.930	7596	12140	680	314	7910	20730	coastnet	./predictions/ATL24_20220815130101_08341607_005_01_gt1r_0_classified_0.csv
40	0.976	0.767	0.843	0.812	0.760	0.795	821	19411	134	364	1185	20730	coastnet	./predictions/ATL24_20220815130101_08341607_005_01_gt1r_0_classified_0.csv
41	0.976	0.978	0.976	0.967	0.951	0.968	11318	8914	181	317	11635	20730	coastnet	./predictions/ATL24_20220815130101_08341607_005_01_gt1r_0_classified_0.csv
0	0.973	0.408	0.920	0.903	0.472	0.676	251	25842	688	39	290	26820	coastnet	./predictions/ATL24_20190318113445_12220208_005_01_gt2l_0_classified_0.csv
40	0.994	0.874	0.904	0.893	0.874	0.886	514	26158	26	122	636	26820	coastnet	./predictions/ATL24_20190318113445_12220208_005_01_gt2l_0_classified_0.csv
41	0.978	0.988	0.978	0.968	0.765	0.925	25321	906	20	573	25894	26820	coastnet	./predictions/ATL24_20190318113445_12220208_005_01_gt2l_0_classified_0.csv
0	0.921	0.900	0.912	0.892	0.839	0.886	12053	19167	617	2047	14100	33884	coastnet	./predictions/ATL24_20210902114045_10821203_005_01_gt1r_0_classified_0.csv
40	0.981	0.513	0.705	0.583	0.519	0.580	334	32916	165	469	803	33884	coastnet	./predictions/ATL24_20210902114045_10821203_005_01_gt1r_0_classified_0.csv
41	0.926	0.937	0.918	0.865	0.852	0.893	18588	12776	2127	393	18981	33884	coastnet	./predictions/ATL24_20210902114045_10821203_005_01_gt1r_0_classified_0.csv
0	0.880	0.692	0.907	0.856	0.660	0.779	4513	24816	3751	260	4773	33340	coastnet	./predictions/ATL24_20230213042035_08341807_006_01_gt1l_0_classified_0.csv
40	0.975	0.627	0.737	0.644	0.650	0.665	695	31817	66	762	1457	33340	coastnet	./predictions/ATL24_20230213042035_08341807_006_01_gt1l_0_classified_0.csv
41	0.903	0.937	0.926	0.907	0.748	0.880	24092	6007	223	3018	27110	33340	coastnet	./predictions/ATL24_20230213042035_08341807_006_01_gt1l_0_classified_0.csv
0	0.966	0.971	0.968	0.958	0.931	0.957	40379	29027	583	1847	42226	71836	coastnet	./predictions/ATL24_20210804203329_06441214_005_01_gt1r_0_classified_0.csv
40	0.990	0.874	0.943	0.937	0.868	0.905	2521	68585	424	306	2827	71836	coastnet	./predictions/ATL24_20210804203329_06441214_005_01_gt1r_0_classified_0.csv
41	0.976	0.969	0.979	0.964	0.950	0.966	26506	43630	1423	277	26783	71836	coastnet	./predictions/ATL24_20210804203329_06441214_005_01_gt1r_0_classified_0.csv
