cls	acc	F1	bal_acc	cal_F1	MCC	Avg	tp	tn	fp	fn	support	total	model	filename
0	0.902	0.910	0.907	0.878	0.807	0.876	12528	10338	612	1866	14394	25344	coastnet	./predictions/ATL24_20191027211532_04730506_005_01_gt2r_1_classified_3.csv
40	0.948	0.892	0.940	0.918	0.859	0.902	5422	18607	880	435	5857	25344	coastnet	./predictions/ATL24_20191027211532_04730506_005_01_gt2r_1_classified_3.csv
41	0.953	0.892	0.957	0.934	0.866	0.912	4903	19252	999	190	5093	25344	coastnet	./predictions/ATL24_20191027211532_04730506_005_01_gt2r_1_classified_3.csv
0	0.965	0.955	0.966	0.948	0.926	0.949	12983	20157	800	412	13395	34352	coastnet	./predictions/ATL24_20220913113704_12761607_006_01_gt3r_0_classified_3.csv
40	0.989	0.632	0.789	0.732	0.629	0.695	316	33668	141	227	543	34352	coastnet	./predictions/ATL24_20220913113704_12761607_006_01_gt3r_0_classified_3.csv
41	0.975	0.979	0.976	0.967	0.949	0.968	19841	13667	271	573	20414	34352	coastnet	./predictions/ATL24_20220913113704_12761607_006_01_gt3r_0_classified_3.csv
0	0.943	0.725	0.912	0.885	0.707	0.807	2647	30465	1622	383	3030	35117	coastnet	./predictions/ATL24_20220102100417_01701406_005_01_gt2l_0_classified_3.csv
40	0.988	0.391	0.719	0.609	0.388	0.527	132	34573	247	165	297	35117	coastnet	./predictions/ATL24_20220102100417_01701406_005_01_gt2l_0_classified_3.csv
41	0.955	0.974	0.957	0.937	0.789	0.914	30333	3191	136	1457	31790	35117	coastnet	./predictions/ATL24_20220102100417_01701406_005_01_gt2l_0_classified_3.csv
0	0.940	0.819	0.897	0.872	0.783	0.843	5281	31119	1276	1056	6337	38732	coastnet	./predictions/ATL24_20210620064750_13351114_005_01_gt3r_0_classified_3.csv
40	0.955	0.895	0.923	0.909	0.867	0.898	7416	29574	583	1159	8575	38732	coastnet	./predictions/ATL24_20210620064750_13351114_005_01_gt3r_0_classified_3.csv
41	0.985	0.988	0.982	0.967	0.968	0.976	23703	14439	473	117	23820	38732	coastnet	./predictions/ATL24_20210620064750_13351114_005_01_gt3r_0_classified_3.csv
0	0.880	0.859	0.890	0.833	0.763	0.836	2649	3728	694	178	2827	7249	coastnet	./predictions/ATL24_20210704023000_01601201_005_01_gt3r_1_classified_3.csv
40	0.923	0.733	0.808	0.759	0.701	0.750	763	5931	116	439	1202	7249	coastnet	./predictions/ATL24_20210704023000_01601201_005_01_gt3r_1_classified_3.csv
41	0.955	0.948	0.952	0.942	0.910	0.938	2961	3963	66	259	3220	7249	coastnet	./predictions/ATL24_20210704023000_01601201_005_01_gt3r_1_classified_3.csv
0	0.954	0.882	0.965	0.941	0.860	0.912	26915	122052	6734	487	27402	156188	coastnet	./predictions/ATL24_20221209191918_12231701_006_01_gt2r_0_classified_3.csv
40	0.993	0.145	0.596	0.326	0.147	0.303	95	154971	734	388	483	156188	coastnet	./predictions/ATL24_20221209191918_12231701_006_01_gt2r_0_classified_3.csv
41	0.953	0.971	0.967	0.960	0.862	0.940	121361	27536	349	6942	128303	156188	coastnet	./predictions/ATL24_20221209191918_12231701_006_01_gt2r_0_classified_3.csv
0	0.967	0.830	0.966	0.950	0.822	0.892	15010	165287	5605	558	15568	186460	coastnet	./predictions/ATL24_20220824082307_09681614_005_01_gt1r_0_classified_3.csv
40	0.993	0.925	0.939	0.935	0.922	0.930	7973	177190	206	1091	9064	186460	coastnet	./predictions/ATL24_20220824082307_09681614_005_01_gt1r_0_classified_3.csv
41	0.972	0.984	0.974	0.964	0.889	0.953	157120	24086	546	4708	161828	186460	coastnet	./predictions/ATL24_20220824082307_09681614_005_01_gt1r_0_classified_3.csv
0	0.904	0.615	0.724	0.619	0.622	0.645	16404	177814	640	19901	36305	214759	coastnet	./predictions/ATL24_20211027210956_05411303_005_01_gt1l_0_classified_3.csv
